Dictionary for log(g) = 0.0
11750.0  4.5  0.974  1.148  0.664
12000.0  4.5  0.975  1.150  0.665
12250.0  4.5  0.976  1.151  0.665
12500.0  4.5  0.978  1.152  0.665
12750.0  4.5  0.978  1.154  0.665
13000.0  4.5  0.980  1.155  0.665
14000.0  4.5  0.984  1.160  0.666
15000.0  4.5  0.987  1.165  0.667
16000.0  4.5  0.991  1.169  0.668
17000.0  4.5  0.993  1.173  0.669
18000.0  4.5  0.996  1.177  0.669
19000.0  4.5  0.999  1.179  0.670
20000.0  4.5  1.002  1.183  0.670
21000.0  4.5  1.005  1.186  0.671
22000.0  4.5  1.007  1.189  0.671
23000.0  4.5  1.009  1.191  0.672
24000.0  4.5  1.011  1.193  0.672
25000.0  4.5  1.012  1.196  0.673
26000.0  4.5  1.014  1.198  0.673
27000.0  4.5  1.015  1.199  0.673
28000.0  4.5  1.017  1.201  0.673
29000.0  4.5  1.019  1.204  0.673
30000.0  4.5  1.020  1.205  0.674
31000.0  4.5  1.022  1.207  0.674
32000.0  4.5  1.023  1.208  0.674
33000.0  4.5  1.024  1.210  0.674
34000.0  4.5  1.025  1.211  0.674
35000.0  4.5  1.026  1.212  0.675
36000.0  4.5  1.026  1.213  0.674
37000.0  4.5  1.026  1.214  0.675
38000.0  4.5  1.027  1.214  0.675
39000.0  4.5  1.027  1.215  0.675
40000.0  4.5  1.028  1.216  0.675
41000.0  4.5  1.028  1.216  0.675
42000.0  4.5  1.028  1.217  0.675
43000.0  4.5  1.028  1.217  0.675
44000.0  4.5  1.029  1.217  0.675
45000.0  4.5  1.029  1.218  0.675
46000.0  4.5  1.030  1.218  0.675
47000.0  4.5  1.030  1.219  0.676
48000.0  4.5  1.031  1.219  0.676
49000.0  4.5  1.031  1.219  0.676

Dictionary for log(g) = 5.0
3500.0  5.0  0.689  0.987  0.592
3750.0  5.0  0.715  0.988  0.604
4000.0  5.0  0.737  0.991  0.616
4250.0  5.0  0.758  0.997  0.624
4500.0  5.0  0.776  1.007  0.630
4750.0  5.0  0.793  1.018  0.634
5000.0  5.0  0.807  1.028  0.637
5250.0  5.0  0.819  1.038  0.639
5500.0  5.0  0.831  1.047  0.641
