RA                Dec             plx        eplx       pmra       epmra      pmdec      epmdec     gmag      egmag       bpmag     ebpmag     rpmag      erpmag #
139.076309204  -36.619358063     0.3590     0.0289    -4.4040     0.0370     4.4920     0.0470    15.1929     0.0003    15.4160     0.0025    14.8196     0.0012
138.958129883  -36.584239960     0.2705     0.0267    -4.4140     0.0350     4.4990     0.0420    14.7819     0.0003    14.9378     0.0018    14.5070     0.0012
139.033828735  -36.681102753     0.3240     0.0345    -4.3960     0.0450     4.5460     0.0520    15.5846     0.0005    15.8317     0.0039    15.1785     0.0027
139.003341675  -36.685497284     0.3112     0.0482    -4.5050     0.0620     4.3860     0.0740    16.1736     0.0006    16.4808     0.0037    15.7105     0.0029
139.070129395  -36.655509949     0.3147     0.0288    -4.4170     0.0370     4.5400     0.0430    15.0910     0.0003    15.3049     0.0014    14.7390     0.0017
139.078842163  -36.635646820     0.3196     0.0205    -4.5000     0.0260     4.5380     0.0310    13.5833     0.0003    14.1523     0.0014    12.8816     0.0011
138.995391846  -36.568511963     0.2898     0.0348    -4.5430     0.0470     4.4260     0.0570    15.6690     0.0005    15.9514     0.0028    15.2250     0.0020
139.052413940  -36.579448700     0.2415     0.0293    -4.4340     0.0410     4.6320     0.0450    11.6319     0.0008    12.2919     0.0022    10.8709     0.0019
139.061569214  -36.585681915     0.3143     0.1762    -4.4370     0.2230     4.4750     0.2810    18.5932     0.0017    19.1549     0.0211    17.9153     0.0163
139.006134033  -36.566276550     0.3026     0.0294    -4.4430     0.0400     4.5910     0.0490    15.2781     0.0004    15.4973     0.0020    14.9094     0.0020
138.937881470  -36.600395203     0.3119     0.3445    -4.4050     0.3970     4.3220     0.4950    19.0282     0.0037    99.9999     9.9999    99.9999     9.9999
139.082473755  -36.624046326     0.2548     0.0374    -4.3770     0.0460     4.4940     0.0620    15.6243     0.0005    15.8768     0.0034    15.2133     0.0029
138.998321533  -36.566104889     0.2636     0.0443    -4.3500     0.0600     4.5960     0.0720    16.0171     0.0005    16.3038     0.0036    15.5714     0.0030
139.050125122  -36.678104401     0.2766     0.0290    -4.4310     0.0360     4.3220     0.0440    14.9487     0.0003    15.1462     0.0017    14.6078     0.0018
139.057983398  -36.673431396     0.2319     0.0656    -4.3660     0.0820     4.4400     0.0950    16.8056     0.0006    17.1705     0.0095    16.2659     0.0043
138.928314209  -36.627582550     0.2761     0.0205    -4.4930     0.0250     4.4760     0.0320    14.0467     0.0002    14.2920     0.0014    13.6504     0.0015
139.083496094  -36.642276764     0.3519     0.0542    -4.4320     0.0670     4.3000     0.0890    16.5036     0.0006    16.8296     0.0044    16.0082     0.0051
