Teff log(g) logZ  L=Teff^4/g   A218     L/A218  A218(i)/A218(i-1) L/A218(i)/L/A218(i-1) 
6250.0  3.5  0.0  4.82525e+11  2.76640  1.74424e+11  1.03212e+00  1.14074e+00 
6500.0  3.5  0.0  5.64486e+11  2.81553  2.00490e+11  1.01776e+00  1.14944e+00 
6750.0  3.5  0.0  6.56470e+11  2.84430  2.30802e+11  1.01022e+00  1.15119e+00 
7000.0  3.5  0.0  7.59263e+11  2.86179  2.65310e+11  1.00615e+00  1.14952e+00 
7250.0  3.5  0.0  8.73679e+11  2.87307  3.04093e+11  1.00394e+00  1.14618e+00 
7500.0  3.5  0.0  1.00056e+12  2.88083  3.47318e+11  1.00270e+00  1.14215e+00 
7750.0  3.5  0.0  1.14079e+12  2.88631  3.95243e+11  1.00190e+00  1.13798e+00 
8000.0  3.5  0.0  1.29527e+12  2.89011  4.48173e+11  1.00132e+00  1.13392e+00 
8250.0  3.5  0.0  1.46493e+12  2.89349  5.06284e+11  1.00117e+00  1.12966e+00 
8500.0  3.5  0.0  1.65073e+12  2.89632  5.69940e+11  1.00098e+00  1.12573e+00 
8750.0  3.5  0.0  1.85367e+12  2.89894  6.39430e+11  1.00090e+00  1.12193e+00 
9000.0  3.5  0.0  2.07477e+12  2.90154  7.15058e+11  1.00090e+00  1.11827e+00 
9250.0  3.5  0.0  2.31508e+12  2.90425  7.97137e+11  1.00093e+00  1.11479e+00 
9500.0  3.5  0.0  2.57569e+12  2.90693  8.86053e+11  1.00092e+00  1.11154e+00 
9750.0  3.5  0.0  2.85771e+12  2.90945  9.82217e+11  1.00087e+00  1.10853e+00 
10000.0  3.5  0.0  3.16228e+12  2.91177  1.08603e+12  1.00080e+00  1.10570e+00 
10250.0  3.5  0.0  3.49056e+12  2.91387  1.19791e+12  1.00072e+00  1.10302e+00 
10500.0  3.5  0.0  3.84377e+12  2.91579  1.31826e+12  1.00066e+00  1.10046e+00 
10750.0  3.5  0.0  4.22312e+12  2.91750  1.44751e+12  1.00059e+00  1.09805e+00 
11000.0  3.5  0.0  4.62989e+12  2.91901  1.58612e+12  1.00052e+00  1.09575e+00 
11250.0  3.5  0.0  5.06536e+12  2.92032  1.73452e+12  1.00045e+00  1.09356e+00 
11500.0  3.5  0.0  5.53084e+12  2.92141  1.89321e+12  1.00037e+00  1.09149e+00 
11750.0  3.5  0.0  6.02770e+12  2.92235  2.06262e+12  1.00032e+00  1.08948e+00 
12000.0  3.5  0.0  6.55730e+12  2.92307  2.24329e+12  1.00025e+00  1.08759e+00 
12250.0  3.5  0.0  7.12106e+12  2.92367  2.43566e+12  1.00021e+00  1.08575e+00 
12500.0  3.5  0.0  7.72040e+12  2.92412  2.64025e+12  1.00015e+00  1.08400e+00 
12750.0  3.5  0.0  8.35681e+12  2.92444  2.85758e+12  1.00011e+00  1.08231e+00 
13000.0  3.5  0.0  9.03178e+12  2.92468  3.08813e+12  1.00008e+00  1.08068e+00 
14000.0  3.5  0.0  1.21482e+13  2.92512  4.15306e+12  1.00015e+00  1.34485e+00 
15000.0  3.5  0.0  1.60090e+13  2.92514  5.47291e+12  1.00001e+00  1.31780e+00 
16000.0  3.5  0.0  2.07243e+13  2.92507  7.08506e+12  9.99976e-01  1.29457e+00 
17000.0  3.5  0.0  2.64117e+13  2.92497  9.02972e+12  9.99966e-01  1.27447e+00 
18000.0  3.5  0.0  3.31963e+13  2.92487  1.13497e+13  9.99966e-01  1.25692e+00 
19000.0  3.5  0.0  4.12111e+13  2.92478  1.40903e+13  9.99969e-01  1.24147e+00 
20000.0  3.5  0.0  5.05964e+13  2.92470  1.72997e+13  9.99973e-01  1.22777e+00 
21000.0  3.5  0.0  6.15003e+13  2.92467  2.10281e+13  9.99990e-01  1.21552e+00 
22000.0  3.5  0.0  7.40783e+13  2.92474  2.53281e+13  1.00002e+00  1.20449e+00 
23000.0  3.5  0.0  8.84935e+13  2.92501  3.02541e+13  1.00009e+00  1.19448e+00 
24000.0  3.5  0.0  1.04917e+14  2.92559  3.58618e+13  1.00020e+00  1.18535e+00 
25000.0  3.5  0.0  1.23526e+14  2.92647  4.22101e+13  1.00030e+00  1.17702e+00 
26000.0  3.5  0.0  1.44508e+14  2.92753  4.93619e+13  1.00036e+00  1.16943e+00 
27000.0  3.5  0.0  1.68056e+14  2.92856  5.73853e+13  1.00035e+00  1.16254e+00 
28000.0  3.5  0.0  1.94371e+14  2.92945  6.63508e+13  1.00030e+00  1.15623e+00 
29000.0  3.5  0.0  2.23662e+14  2.93008  7.63330e+13  1.00022e+00  1.15045e+00 
30000.0  3.5  0.0  2.56144e+14  2.93041  8.74091e+13  1.00011e+00  1.14510e+00 
31000.0  3.5  0.0  2.92043e+14  2.93056  9.96543e+13  1.00005e+00  1.14009e+00 
4500.0  3.5  0.5  1.29673e+11  1.23469  1.05025e+11  4.21315e-01  1.05389e-03 
4750.0  3.5  0.5  1.60981e+11  1.29126  1.24670e+11  1.04582e+00  1.18705e+00 
5000.0  3.5  0.5  1.97642e+11  1.39982  1.41191e+11  1.08407e+00  1.13252e+00 
5250.0  3.5  0.5  2.40236e+11  1.60514  1.49666e+11  1.14668e+00  1.06003e+00 
5500.0  3.5  0.5  2.89368e+11  1.88119  1.53822e+11  1.17198e+00  1.02776e+00 
