Teff log(g) logZ  L=Teff^4/g   A218     L/A218  A218(i)/A218(i-1) L/A218(i)/L/A218(i-1) 
4750.0  1.5 -1.0  1.60981e+13  1.63393  9.85238e+12  1.04931e+00  3.01368e-01 
4750.0  2.0 -1.0  5.09066e+12  1.73135  2.94029e+12  1.05962e+00  2.98434e-01 
4750.0  2.5 -1.0  1.60981e+12  1.83740  8.76134e+11  1.06125e+00  2.97976e-01 
4750.0  3.0 -1.0  5.09066e+11  1.92619  2.64287e+11  1.04832e+00  3.01651e-01 
4750.0  3.5 -1.0  1.60981e+11  1.98356  8.11576e+10  1.02978e+00  3.07082e-01 
4750.0  4.0 -1.0  5.09066e+10  2.00676  2.53676e+10  1.01170e+00  3.12572e-01 
4750.0  4.5 -1.0  1.60981e+10  2.00355  8.03478e+09  9.98400e-01  3.16734e-01 
4750.0  5.0 -1.0  5.09066e+09  1.98562  2.56377e+09  9.91051e-01  3.19083e-01 
4750.0  0.0 -2.0  5.09066e+14  1.53692  3.31225e+14  7.74025e-01  1.29195e+05 
4750.0  0.5 -2.0  1.60981e+14  1.61920  9.94200e+13  1.05354e+00  3.00159e-01 
4750.0  1.0 -2.0  5.09066e+13  1.73939  2.92670e+13  1.07423e+00  2.94377e-01 
4750.0  1.5 -2.0  1.60981e+13  1.90278  8.46030e+12  1.09394e+00  2.89074e-01 
4750.0  2.0 -2.0  5.09066e+12  2.07473  2.45365e+12  1.09037e+00  2.90019e-01 
4750.0  2.5 -2.0  1.60981e+12  2.22741  7.22727e+11  1.07359e+00  2.94552e-01 
4750.0  3.0 -2.0  5.09066e+11  2.33901  2.17642e+11  1.05010e+00  3.01140e-01 
4750.0  3.5 -2.0  1.60981e+11  2.41181  6.67469e+10  1.03112e+00  3.06682e-01 
4750.0  4.0 -2.0  5.09066e+10  2.45434  2.07415e+10  1.01763e+00  3.10748e-01 
4750.0  4.5 -2.0  1.60981e+10  2.47110  6.51455e+09  1.00683e+00  3.14083e-01 
4750.0  5.0 -2.0  5.09066e+09  2.46968  2.06126e+09  9.99425e-01  3.16410e-01 
4750.0  0.0  0.0  5.09066e+14  1.25733  4.04879e+14  5.09106e-01  1.96423e+05 
4750.0  0.5  0.0  1.60981e+14  1.27146  1.26611e+14  1.01124e+00  3.12713e-01 
4750.0  1.0  0.0  5.09066e+13  1.28661  3.95665e+13  1.01192e+00  3.12504e-01 
4750.0  1.5  0.0  1.60981e+13  1.30439  1.23415e+13  1.01382e+00  3.11917e-01 
4750.0  2.0  0.0  5.09066e+12  1.32666  3.83720e+12  1.01707e+00  3.10919e-01 
4750.0  2.5  0.0  1.60981e+12  1.35198  1.19070e+12  1.01909e+00  3.10305e-01 
4750.0  3.0  0.0  5.09066e+11  1.37664  3.69789e+11  1.01824e+00  3.10563e-01 
4750.0  3.5  0.0  1.60981e+11  1.39796  1.15154e+11  1.01549e+00  3.11405e-01 
4750.0  4.0  0.0  5.09066e+10  1.41475  3.59828e+10  1.01201e+00  3.12475e-01 
4750.0  4.5  0.0  1.60981e+10  1.42657  1.12845e+10  1.00835e+00  3.13608e-01 
4750.0  5.0  0.0  5.09066e+09  1.43510  3.54725e+09  1.00598e+00  3.14348e-01 
4750.0  0.0  0.5  5.09066e+14  1.21139  4.20233e+14  8.44115e-01  1.18467e+05 
4750.0  0.5  0.5  1.60981e+14  1.21916  1.32042e+14  1.00641e+00  3.14212e-01 
4750.0  1.0  0.5  5.09066e+13  1.22715  4.14836e+13  1.00655e+00  3.14169e-01 
4750.0  1.5  0.5  1.60981e+13  1.23656  1.30184e+13  1.00767e+00  3.13821e-01 
4750.0  2.0  0.5  5.09066e+12  1.24844  4.07762e+12  1.00961e+00  3.13219e-01 
4750.0  2.5  0.5  1.60981e+12  1.26248  1.27512e+12  1.01125e+00  3.12711e-01 
4750.0  3.0  0.5  5.09066e+11  1.27677  3.98714e+11  1.01132e+00  3.12688e-01 
4750.0  3.5  0.5  1.60981e+11  1.29126  1.24670e+11  1.01135e+00  3.12679e-01 
4750.0  4.0  0.5  5.09066e+10  1.30434  3.90287e+10  1.01013e+00  3.13057e-01 
4750.0  4.5  0.5  1.60981e+10  1.31748  1.22189e+10  1.01007e+00  3.13074e-01 
4750.0  5.0  0.5  5.09066e+09  1.33164  3.82285e+09  1.01075e+00  3.12865e-01 
5000.0  0.0 -1.0  6.25000e+14  1.62513  3.84585e+14  1.22040e+00  1.00601e+05 
5000.0  0.5 -1.0  1.97642e+14  1.70130  1.16171e+14  1.04687e+00  3.02070e-01 
5000.0  1.0 -1.0  6.25000e+13  1.80909  3.45478e+13  1.06336e+00  2.97386e-01 
5000.0  1.5 -1.0  1.97642e+13  1.95174  1.01265e+13  1.07885e+00  2.93115e-01 
5000.0  2.0 -1.0  6.25000e+12  2.10955  2.96272e+12  1.08086e+00  2.92572e-01 
5000.0  2.5 -1.0  1.97642e+12  2.24350  8.80955e+11  1.06350e+00  2.97347e-01 
5000.0  3.0 -1.0  6.25000e+11  2.33411  2.67768e+11  1.04039e+00  3.03952e-01 
5000.0  3.5 -1.0  1.97642e+11  2.38309  8.29353e+10  1.02098e+00  3.09728e-01 
5000.0  4.0 -1.0  6.25000e+10  2.40076  2.60334e+10  1.00741e+00  3.13900e-01 
5000.0  4.5 -1.0  1.97642e+10  2.39812  8.24155e+09  9.98900e-01  3.16576e-01 
5000.0  5.0 -1.0  6.25000e+09  2.38221  2.62361e+09  9.93366e-01  3.18340e-01 
5000.0  0.0 -2.0  6.25000e+14  1.76921  3.53265e+14  7.42676e-01  1.34648e+05 
5000.0  0.5 -2.0  1.97642e+14  1.90761  1.03607e+14  1.07823e+00  2.93285e-01 
5000.0  1.0 -2.0  6.25000e+13  2.08603  2.99612e+13  1.09353e+00  2.89181e-01 
5000.0  1.5 -2.0  1.97642e+13  2.26403  8.72967e+12  1.08533e+00  2.91366e-01 
5000.0  2.0 -2.0  6.25000e+12  2.41049  2.59283e+12  1.06469e+00  2.97014e-01 
5000.0  2.5 -2.0  1.97642e+12  2.50906  7.87715e+11  1.04089e+00  3.03805e-01 
5000.0  3.0 -2.0  6.25000e+11  2.56993  2.43197e+11  1.02426e+00  3.08738e-01 
