   AGE            L/Lsun         Fpp            Fdp       Fhe3HE3         Fhe3he4          Fbe           Fli7p           Fbe7p         Ftotpp
   3.9220296760  0.1418003E+01  0.3833178E-10  0.1208830E+03  0.2972919E-34  0.2097771E-39  0.0000000E+00  0.7522449E-18  0.0000000E+00  0.9670644E+03
   3.9323222945  0.1415162E+01  0.4019344E-10  0.1272551E+03  0.3454400E-34  0.2458459E-39  0.0000000E+00  0.8364992E-18  0.0000000E+00  0.1018041E+04
   3.9424339820  0.1412325E+01  0.4213503E-10  0.1339268E+03  0.4010627E-34  0.2878712E-39  0.0000000E+00  0.9296611E-18  0.0000000E+00  0.1071415E+04
   3.9523855979  0.1409501E+01  0.4416244E-10  0.1409206E+03  0.4653682E-34  0.3368711E-39  0.0000000E+00  0.1032770E-17  0.0000000E+00  0.1127365E+04
   3.9622256913  0.1406655E+01  0.4628861E-10  0.1482836E+03  0.5400193E-34  0.3942387E-39  0.0000000E+00  0.1147368E-17  0.0000000E+00  0.1186269E+04
   3.9718850957  0.1403829E+01  0.4850099E-10  0.1559749E+03  0.6259751E-34  0.4608540E-39  0.0000000E+00  0.1273719E-17  0.0000000E+00  0.1247799E+04
   3.9814379938  0.1400995E+01  0.5081932E-10  0.1640656E+03  0.7256097E-34  0.5387233E-39  0.0000000E+00  0.1413979E-17  0.0000000E+00  0.1312525E+04
   3.9908590908  0.1398169E+01  0.5324096E-10  0.1725494E+03  0.8407138E-34  0.6294420E-39  0.0000000E+00  0.1569172E-17  0.0000000E+00  0.1380395E+04
   4.0001824472  0.1395341E+01  0.5577851E-10  0.1814735E+03  0.9740902E-34  0.7354477E-39  0.0000000E+00  0.1741416E-17  0.0000000E+00  0.1451788E+04
   4.0094017864  0.1392509E+01  0.5843469E-10  0.1908506E+03  0.1128466E-33  0.8591766E-39  0.0000000E+00  0.1932371E-17  0.0000000E+00  0.1526805E+04
   4.0185096115  0.1389684E+01  0.6121144E-10  0.2006911E+03  0.1306888E-33  0.1003380E-38  0.0000000E+00  0.2143779E-17  0.0000000E+00  0.1605529E+04
   4.0275294286  0.1386857E+01  0.6412068E-10  0.2110404E+03  0.1513536E-33  0.1171799E-38  0.0000000E+00  0.2378332E-17  0.0000000E+00  0.1688324E+04
   4.0364618009  0.1384031E+01  0.6716792E-10  0.2219222E+03  0.1752811E-33  0.1368446E-38  0.0000000E+00  0.2638495E-17  0.0000000E+00  0.1775378E+04
   4.0453069115  0.1381201E+01  0.7035868E-10  0.2333601E+03  0.2029765E-33  0.1597969E-38  0.0000000E+00  0.2926962E-17  0.0000000E+00  0.1866881E+04
   4.0540604943  0.1378382E+01  0.7369697E-10  0.2453724E+03  0.2350035E-33  0.1865614E-38  0.0000000E+00  0.3246531E-17  0.0000000E+00  0.1962979E+04
   4.0627535300  0.1375550E+01  0.7720113E-10  0.2580297E+03  0.2721635E-33  0.2178757E-38  0.0000000E+00  0.3601730E-17  0.0000000E+00  0.2064238E+04
   4.0713511906  0.1372736E+01  0.8086357E-10  0.2713092E+03  0.3150921E-33  0.2543542E-38  0.0000000E+00  0.3994824E-17  0.0000000E+00  0.2170473E+04
   4.0799097334  0.1369910E+01  0.8471600E-10  0.2853307E+03  0.3650081E-33  0.2971256E-38  0.0000000E+00  0.4432668E-17  0.0000000E+00  0.2282646E+04
   4.0883968129  0.1367084E+01  0.8875230E-10  0.3000775E+03  0.4228309E-33  0.3470880E-38  0.0000000E+00  0.4918485E-17  0.0000000E+00  0.2400620E+04
   4.0968107870  0.1364269E+01  0.9297937E-10  0.3155802E+03  0.4897817E-33  0.4054228E-38  0.0000000E+00  0.5457281E-17  0.0000000E+00  0.2524641E+04
   4.1051887179  0.1361444E+01  0.9742535E-10  0.3319478E+03  0.5676497E-33  0.4738397E-38  0.0000000E+00  0.6057470E-17  0.0000000E+00  0.2655582E+04
   4.1134988944  0.1358621E+01  0.1020831E-09  0.3491606E+03  0.6578734E-33  0.5537791E-38  0.0000000E+00  0.6723471E-17  0.0000000E+00  0.2793285E+04
   4.1217502169  0.1355798E+01  0.1069670E-09  0.3672778E+03  0.7625056E-33  0.6472640E-38  0.0000000E+00  0.7463143E-17  0.0000000E+00  0.2938223E+04
   4.1299450166  0.1352976E+01  0.1120884E-09  0.3863487E+03  0.8838667E-33  0.7566068E-38  0.0000000E+00  0.8284735E-17  0.0000000E+00  0.3090790E+04
   4.1380868482  0.1350155E+01  0.1174605E-09  0.4064288E+03  0.1024681E-32  0.8845426E-38  0.0000000E+00  0.9197604E-17  0.0000000E+00  0.3251431E+04
   4.1461803554  0.1347327E+01  0.1230977E-09  0.4275804E+03  0.1188152E-32  0.1034312E-37  0.0000000E+00  0.1021236E-16  0.0000000E+00  0.3420643E+04
   4.1542071861  0.1344511E+01  0.1289984E-09  0.4498049E+03  0.1377452E-32  0.1209203E-37  0.0000000E+00  0.1133757E-16  0.0000000E+00  0.3598439E+04
   4.1622029564  0.1341686E+01  0.1352017E-09  0.4732578E+03  0.1597635E-32  0.1414335E-37  0.0000000E+00  0.1259070E-16  0.0000000E+00  0.3786063E+04
   4.1701426903  0.1338868E+01  0.1417018E-09  0.4979262E+03  0.1852937E-32  0.1654185E-37  0.0000000E+00  0.1398183E-16  0.0000000E+00  0.3983410E+04
   4.1780468184  0.1336039E+01  0.1485294E-09  0.5239361E+03  0.2149710E-32  0.1935339E-37  0.0000000E+00  0.1553000E-16  0.0000000E+00  0.4191489E+04
   4.1858877149  0.1333265E+01  0.1556753E-09  0.5512617E+03  0.2493458E-32  0.2263730E-37  0.0000000E+00  0.1724673E-16  0.0000000E+00  0.4410093E+04
   4.1938185099  0.1330505E+01  0.1633060E-09  0.5805519E+03  0.2900051E-32  0.2655445E-37  0.0000000E+00  0.1918993E-16  0.0000000E+00  0.4644415E+04
   4.2018776366  0.1327683E+01  0.1715004E-09  0.6121283E+03  0.3384737E-32  0.3126421E-37  0.0000000E+00  0.2140458E-16  0.0000000E+00  0.4897026E+04
   4.2098883511  0.1324870E+01  0.1801100E-09  0.6454350E+03  0.3950692E-32  0.3681161E-37  0.0000000E+00  0.2387570E-16  0.0000000E+00  0.5163480E+04
   4.2178762881  0.1322038E+01  0.1891840E-09  0.6806760E+03  0.4613753E-32  0.4336746E-37  0.0000000E+00  0.2664188E-16  0.0000000E+00  0.5445408E+04
   4.2257891189  0.1319217E+01  0.1986822E-09  0.7177083E+03  0.5385266E-32  0.5106194E-37  0.0000000E+00  0.2971713E-16  0.0000000E+00  0.5741666E+04
